Lefordítandó szöveg,Lefordított szöveg
Partner típus név,[ Partner type name [ ]
Csoport azonosító szám: ,[Group identification number: ]
Épület: ,[ Building: ]
Tételképzési mód(szállítói): ,[ Item creation method (suppliers): ]
Tárgyi eszköz f?könyvi napló:,[ Tangible asset general ledger journal: ]
Pénzmozgás Árfolyam típus:,[ Cash flow exchange rate type: ]
Induló forduló: ,[ Starting round: ]
Árfolyam típus név,[ Exchange rate type name ]
Üzem: ,[ Plant: ]
Érvényesség kezdete,[ Validity\n]
Mennyiségi egység kód: ,[Quantity unit: ]
Árukísér? kiszolgálás?,[ Accompanying service? ]
Szállításszervezés átadás?,[ Delivery organization transfer? ]
Kompenzáció f?könyvi napló: ,[ Compensation ledger log: ]
Egyszerre mozgatható maximális mennyiség: ,[ Maximum quantity that can be moved at one time: ]
Értékesítés árfolyam típusa név,[ Sales rate\n]
Telepítés: ,[Town: ]
Min. rendelési érték: ,[ Min. ]
Késedelmi kamat típusa:,[Type of interest for late payment: ]
Adószám: ,[ Tax number: ]
Közigazgatási adószám: ,[ Community tax number: ]
Számláz?,[ Invoice?\n]
Szállítói megrendelés határnap: ,[Supplier Order Deadline: ]
Adóhatósági ellen?rzési adatszolgáltatás,[ Tax Authority Audit Reporting ]
Pénzmozgás árfolyam típusa név,[ Cash Flow Rate\n]
Székhely cím: ,[Headquarters Address: ]
Felvásárlás fizetési határnapok: ,[ Acquisition payment six. ]
M?ködés,[Operation ]
Zárul forduló: ,[ Closing round: ]
Felvásárlás fizetési mód:,[ Purchase payment method: ]
Beszerzés árfolyam típusa:,[ Purchase exchange rate type: ]
FELIR azonosító: ,[ FELIR identifier: ]
F?könyv,[ General ledger ]
Készlet jelleg: ,[ Public area type: ]
Érv.kezdete,[ Argument start ]
Értékesítés árfolyam típusa:,[ Sales exchange rate type: ]
Értékesítés árfolyam típusa kód,[ Sales exchange rate\n]
Alapértelmezett leltár mennyiség jelleg: ,[Default Inventory Quantity Type: ]
Számla befogadás határnap: ,[ Invoice Receipt Deadline: ]
Vállalat,[ Company ]
Beszerzés árfolyam típusa név,[ Purchase Rate\n]
Ország kód,[Country code ]
Adó árfolyam típusa név,[ Tax rate\n]
Fizetési mód: ,[Payment method: ]
Vev?i megrendelés határnap: ,[ Sales order deadline: ]
Számlakibocsátás határnap: ,[ Invoice delivery deadline: ]
Készletforgalom határnap: ,[ Inventory turnover deadline: ]
Vállalat árfolyam,[ Company exchange rate ]
Irányítószám,[ Registration number ]
Beérkez? számla feladás f?könyvi napló:,[ Incoming invoice sending principal. ]
Pénzmozgás árfolyam típusa kód,[Cash flow exchange rate\n]
M?ködési/engedélyszám: ,[Operating / Excise License Number: ]
Raktári kiszolgálás?,[ Warehouse Service? ]
Hatáskör,[ Scope ]
Számla feladás f?könyvi napló:,[ Invoice Posting General Ledger: ]
Házszám: ,[ House Number: ]
Gyártás típusa: ,[ Production Type:]
(*)A vállalat egyedi kódja,[(*) Unique company code]
Társra zsilip kitöltési mód,[Tour lock filling method ]
Cím név,[ Address name ]
Cím,[ Address ]
Ártípus kód,[ Price type code ]
Betárolási javaslat?,[ Storage suggestion? ]
Terméktanács azonosító,[ Product board ID ]
Szállítólevél raktáronként?,[ Delivery note per warehouse? ]
Cím kód,[Address code ]
Számla jogcím,[ Account title ]
Partner kód,[ Partner code ]
Sarzs kód szegmens,[ Batch code segment ]
KTJ (Környezetvédelmi Területi Jel),[ KTJ (Environmental Territorial Sign) ]
Keres? név,[ Search name ]
Partner név,[ Partner name ]
Saját bolt munkaszám,[ Own shop number ]
Raktári m?szak követés?,[ Warehouse shift tracking? ]
Saját bolt munkaszám név,[ Own shop job number name ]
Társra indítás mód,[ ]
(*)[Vállalat]->A vállalat egyedi kódja,[(*) [Company] -\u003e Unique company code]
Vev??,[Customer ]
[Saját bolt munkaszám]->Sarzs kód szegmens,[ [Own store work number] -\u003e Batch code segment ]
[Saját bolt munkaszám]->Elnevezés,[ [Own store work number] -\u003e Name]
Automatikus feltölt?  ,[Auto upload?]
Értékcsökkenés kezdete,[Start of depreciation ]
Generálás,[ Generation ]
ÁFA kulcs név,[ ECS key name ]
Tervezet generálás,[ Draft generation ]
Évek száma,[ Number of years ]
Gyáriszám,[ Serial number ]
Értékcsökkenés kulcs,[ Depreciation key ]
Eszközszám,[ Device number ]
Értékcsökkenés tervezet,[ Depreciation draft ]
ÁFA kulcs kód,[ ECS key code ]
ÁFA érték,[ ECS value ]
Státusz,[ Status ]
Értékcsökkenés tervezet tétel,[ Depreciation draft item [ ]
Fejlesztési tartalék,[Development reserve ]
Értékelés név,[ E. ]
Alszám,[Subheading ]
ÁFA számítási módszer,[ ECS calculation method ]
Újra generálás,[ Regeneration ]
Maradvány érték,[ Residual value ]
Értékelés kód,[ E. ]
Üzem:,[ Plant: ]
Lefordítandó szöveg,[Text to translate ]
Lefordított szöveg,[ Translated text ]
Show Putty Registry,[ Show Putty Registry ]
Log: ,[ Log: ]
Login Putty,[Login Putty ]
Próbaszöveg,[ Sample text ]
vrtSplita,[ vrtSplita ]
downloadFile,[ downloadFile ]
Levonható adó érték,[Deductible tax value]
Termék,[Product]
Fizetési mód,[Payment method]
Készletfajta,[Inventory type ]
Adó árfolyam,[Tax rate]
A megengedett értékek listája,[List of allowed values]
Nyomtatás,[Print]
Munkaszám kód,[Job number code]
Érvényesít,[ Validate ]
Összesített értékek pénznemenként,[ ]
Összes adó érték,[Total tax value]
NAV státusz,[NAV status]
Csekk példányszám,[Check number of copies]
ÁFA zárás dátum,[VAT closing date]
SWIFT kód,[SWIFT code]
Összes nettó érték,[Total Net Value]
Közvetített biz. szám,[Intermediate biz. ]
Számla fajta,[Account type]
Kamat típus,[Interest type]
Megrendelés,[Order]
Folyamatos szolgáltatás?,[Continuous service?]
Teljesítés kezdete,[Start of execution]
Üzemanyag kártya szám,[Fuel card number]
Számlaszám,[Invoice number]
Válassza ki a tételt!,Select the item!
Mentés,[ Save ]
Fordítás,[ Translate ]
Betöltés,[ Loading]
Connected (vc2-0),[Connected (vc2-0)]
Tételképzés mód név,[Batch mode name ]
Munkahely,[ Workplace ]
Gyártás nap eltérés,[ Date of manufacture deviation ]
Cikk:,[ Article: ]
Cikk név:,[ Article name: ]
Tétel:,[ Item: ]
Lejárati dátum:,[ Expiry date: ]
(*)Az üzem egyedi kódja,[ (*) Unique code of the plant ]
Cikk kód:,[ Article code: ]
Etk:,[Etk: ]
Tételképzés mód kód,[ Batch mode code]
(*)A munkahely neve,[(*) Name of workplace ]
(*)A munkahely üzemen belüli egyedi kódja,[ (*) Unique code of the workplace on the holding ]
A munkahelyen aktuálisan feldolgozás alatt álló tétel kódja,[ Code of the batch currently being processed at the workplace]
fut: select * from uzem,[run: select * from uzem ]
Select Ok: select * from uzem,[ Select Ok: select * from uzem]
Banki nap?,[Bank day? ]
Naptári napok,[ Calendar days ]
 Dátumtól: ,[ From: ]
Paraméterek,[ Parameters ]
 Dátumig: ,[ To: ]
(*)A dátum,[ (*) The date ]
Érvénytelenít,[ Cancel ]
fut: select * from vagasi_igeny limit 100,[run: select * from vagasi_igeny limit 100 ]
Select Hiba: select * from vagasi_igeny limit 100,[ Select Error: select * from vagasi_igeny limit 100]
"Select Ok: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021","[Select Ok: select * from ebsz_qml_vagasi_igeny_tabla ('2021-02-22', '2021 ]"
"fut: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021-06-21',95224637,'H')","[ run: select * from ebsz_qml_vagasi_igeny_tabla (' 2021-02-22 ',' 2021-06-21 ', 95224637,' H ')]"
Üres mérlegre vár...,Waiting for empty scales...
Cikktáblázat,[Article table ]
Mérés,[ Measurement ]
Egalizált,[ Equalized ]
Korábbiak,[ Previous ]
Munkaszám,[ Number of jobs ]
Irány,[ Direction]
Nincs a munkahelyhez beállított tétel!,[There is no item set for the job!]
Adja meg a,[ Enter ]
darab számot,[ number of pieces ]
raklap,[ pallet ]
Adja meg a Raklap súlyát/Mozgó tárhely vonalkódját!,[ Enter Pallet weight / Moving storage barcode ]
Göngyöleg választás,[ Package selection]
Mérés kész,[ Measurement complete ]
tárhely,[ Storage ]
Raklap/Mozgó,[ Pallet / Moving ]
Utolsó mérés,[ Last measurement ]
Címke rontás,[ Label deterioration ]
Kijelölt tétel,[ Selected item ]
Kijelölt cikktáblázat,[ Selected item table ]
Betuméret,[Font size ]
Cikk kép megjelenítése,[Display item image ]
Sarzs: ,Lot:
Kiszállítás:,[Delivery: ]
"Kiszedohöz kijelölés
idopont",[ Assign to pickup\n]
"Mennyiség
kiszedett",[Quantity\n]
Mind ki,[ All out ]
Nyomtatás túránként - raktár bontásban?,[ Print per tour - broken down by warehouse? ]
"Túránként
gyártási utasításonként",[ Per tour\n]
Mind kijelölés/megfordítás,[All selection / inversion ]
Hiány mennyiség,[ Shortage quantity ]
1. vontatmány rendszám,[ 1. ]
"Gyujto (darab)
kijelölt",[Collector (pieces)\n]
Zárókészlet jelzés e-mail címek,[Closing stock indication e-mail addresses ]
Leltár mennyiség jelleg,[ Inventory quantity type ]
Lejárat jelzés e-mail címek,[ Expiration indication e-mail addresses ]
Árualap viszony,[ Commodity basis relationship ]
Szervezet kód,[ Organization code ]
Készletmozgás bizonylaton megjelenítendo szöveg,[ Text to be displayed on the inventory movement document ]
Zóna kód,[ Zone code ]
Fokönyvi feladás?,[ General ledger posting? ]
Tárhelyre bevételezés mozgásnem,[ Storage entry movement type ]
Zóna név,[ Zone ]
Beszállító kód,[Supplier Code ]
Vállalati raktárak,[ Corporate Warehouses ]
"Cikktáblázat
(kizárt cikkek)",[ Item Table\n]
Maradék eltérés többlet mozgásnem,[Residual deviation Excess movement type ]
Vezérelt leltár?,[ Controlled inventory?\n]
Tárhelyrol kiadás mozgásnem név,[Release from storage movement name ]
Leltárkör,[ Inventory circle ]
Maradék eltérés hiány mozgásnem név,[ Residual discrepancy missing movement type ]
Tárhely kód,[ Storage code ]
Készletszint jelzés e-mail címek,[ Inventory level indication e-mail addresses ]
"Cikktáblázat
(engedélyezett cikkek)",[ Article table\n]
"Cikktáblázat név
(kizárt cikkek)",[Article table name\n]
alma,[Apple]
körte,[pear]
Nincs a munkahelyhez beállított feldolgozás alatti tétel!,[ No item set for workplace set! ]
Megrendelés száma,Invoice No.
Cikk kód megjelenítése,[Display article code ]
Cikk infó megjelenítése,[ Display article info ]
Útvonal betuméret,[ Route font size ]
Cikk betuméret,[ Article font size ]
Mérleg cimkék rövidítése,[ Abbreviation of balance labels ]
Választó gombok szélessége,[ Width of selection buttons ]
Cikk név megjelenítése,[ Display article name ]
ETK megjelenítése,[ Display ETK]
Napi generálás,[Daily generation ]
Nap feloldása,[ Day unlock ]
Nap zárolása,[ Day lock ]
Adat generálás,[ Data generation]
Connected (vc5-0),[Connected (vc5-0) ]
Connected (vc4-0),[ Connected (vc4-0)]
Select Ok: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DA,[Select Cause: select rjo_get_system_parameter ('EBSZ_HSZ_GJU_KETRECBEN_DA ]
"fut: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DARAB_LISTA','10-12')","[ running: select rjo_get_system_parameter (' EBSZ_HSZ_GJU_KETRECBEN_PUT_LIST ',' 10-12 ') ]"
Rendszer paraméter,[ System parameter]
