Lefordítandó szöveg,Lefordított szöveg,Text to be translated
Rakodás státusz,[ Loading status ],Warehouse code
Vállalat felhasználó,[ Company user ],Start/end
Beállítások megjelenítése,[ Settings\n],Location code
Módosít, Change ,Bank account code
Törlés, Delete ,Are you making money? no movement noun
Feltölt, Upload ,Label
Kilépés, Exit ,Are you making money? warehouse name
Vonalkód:, Barcode:,EKAER user
Elnevezés,Name ,Sales rule
Pénzmozgás szabály,[ Cash flow rule ],(*)[User]->Name
Automatikus feltöltés?, Auto-fill?,Automatic update
A módosítások a következ? bejelentkezéskor lépnek életbe.,[ Changes take effect the next time you log in. ],Activity template
A séma neve,[ Schema Name ],Trunk management rule
Tárolt eljárások,[ Stored Procedures],User code prints
A tárolt eljárás neve,[Name of the stored procedure ],Tribe status
A visszatérési érték típusa,[ Type of return value ],Group name
(*)A lefordítandó szöveg,[ (*) Text to be translated ],Title code
Nyelv kód,[ Language code ],Activity template name
A formális paraméter lista,[ List of formal parameters],Primary site and warehouse setting
(*)[Nyelv]->A nyelv kódja,[(*) [Language] -\u003e Language code],Tribe
Séma, Schema ,Loading
Típus, Type ,Courier delivery
Paraméter,Parameter ,Period:
Vonalkód: -,[ Barcode: - ],User code
Kamerakép,Camera Image ,Storage:
Vonalkód+kép, Barcode + Image,User
Törzs indítható?,[Can a tour be started?] ],Loading status
(*)Kód,[ (*) Code ],Company user
Illetékesség,[ Jurisdiction],Show settings
Készletszint feltöltési szabály név,[Inventory level replenishment rule name ],It modifies
Els?dleges üzem név,[ Primary plant name ],Deletion
Készletszint feltöltési szabály kód,[ Inventory level replenishment rule code ],Uploaded
Els?dleges üzem kód,[ Primary plant code ],Exit
Vállalat szervezet,[ Company organization ],Bar code:
Vállalat kód,[ Company code ],Name
Gyártmánylap jóváhagyás kezd? dátum,[ Product sheet approval start date ],Cash flow rule
Vállalat név,[ Company name],Automatic upload?
Szerepkörök és készletmozgás jogok másolása,[ Copy roles and inventory movement rights ],The amendments are the following? they take effect upon login.
Leírás,[ Description ],The name of the scheme
Szerepkör felhasználók,[ Role users ],Stored Procedures
Els?dleges telephely: ,[ Primary location: ],The name of the stored procedure
Törzs bizonylatszám,[Tour voucher number ],The type of the return value
Telepítés,[ City ],(*)The text to be translated
Ország név,[ Country name ],Language code
Kijelölt darab (gy?jt??),[ Designated piece (collector) ],The formal parameter list
Csak él? tervek? ,[ Live plans only? ],(*)[Language]->The language code
Beszerzési összesítés,[Browser ],Schema
  Készletszintenként,[ By power ],Type
Nyomtatandó darab (gy?jt??),[ Piece to be printed (collector) ],Parameter
Újratervezés,[ Redesign ],Bar code: -
Mennyiség,[ Quantity ],Camera image
Nyomtatás cikkenként,[ Print\n],Barcode+image
Kijelölt hatáskör,[ Selected scope ],Can a tribe be started?
Nyomtatás törzsönként - lapváltás törzsönként?,[ Print per tour - change pages per tour ],(*)Mist
Elérhet?ség,[ Availability ],Jurisdiction
Áru kód,[ Commodity code ],Inventory level upload rule name
Mennyiség kijelölt,[ Quantity\n],Primary plant name
 Hiányra szállítás? ,[Missing screening? ],Stock level upload rule code
1. Törzs - gy?jtési pontok,[Tour 1 -\n],Primary plant code
Helyettesített cikk egységár/kg,"[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Company organization
Egységár/kg eltérés,"[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Company code
Helyettesít? cikk egységár,[Replacement article\n],Product plate approval begins? date
Egységár/kg eltérés %,"[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Company name
Helyettesít? cikk kód,"[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Copy roles and stock movement rights
Helyettesített cikk ETK,"[['NO_INTERNET_OR_URL_NOT_REACHABLE 1', '']]",Description
Fix f?könyvi számla kód,[Fixed General Ledger Account Code ],Role users
Tárgyi eszköz csoport,[ Tangible Asset Group ],Primary location:
 F?könyvi kategória kód szállító: ,[ General Ledger Category Code Filter: ],Master document number
E. csoport név,[ E. ],Installation
 Dátum navigálás el?szállítókat frissít?  ,[Update date navigation pre-filters? ],Country name
 Táblázatban a rendeltek megjelenjenek? ,[Should the orders appear in a table? ],Selected item (collect??)
Els?dleges telephely,[Primary site ],Is he just alive? plans?
Áthelyezés készletmozgás nélkül,[ Relocation without stock movement ],Purchase summary
Cross-docking továbbitási cégre vonatkozó szállítási dátum,[ Delivery date for cross-docking forwarding company ],By stock level
Bruttó érték,[ Gross value ],Piece to be printed (collect??)
Raklap mérés,[ Pallet measurement ],Redesign
Kijelölt törzsre - tárhelyeken,[ Selected\n ],Quantity
(*)A telephely vállalaton belüli egyedi kódja,[(*) Site-specific unique code ],Print per article
Kiemelt kezelés?,[ Priority treatment? ],Designated authority
 Telepítés: ,[ City: ],Print per section - page change per section?
Raklap összesít? nyomtatás - kiválasztott,[ Pallet summary printing - selected ],Accessibility
Komissiós lista nyomtatás beállítása,[ Commission list printing setting ],Product code
Össz. súly (kg):,[ Total ],Quantity selected
Visszáru ok kód,[Return reason code ],Missing delivery?
Egyéb adatok:,[ Other data: ],1. Trunk - collection points
F. Hatarid?:,[ F.Date: ],Substituted item unit price/kg
Nyomtatás el?tt módosítható?: ,[ Can be changed before printing ?: ],Unit price/kg difference
"0001I, Külföldre eladás kitárolássalI","[ 0001I, Sale abroad by checkoutI ]",Substitute? item unit price
Fuvarkedvezmény kalkulálandó?: ,[ Freight discount to be calculated ?: ],Unit price/kg difference %
Adó Érték,[ Tax\n],Substitute? article code
Alap egységár:,[Base unit price: ],Substituted article ETK
Hónap,[ Month ],Fixed ledger account code
Telepítés:,[ City: ],Asset group
Beállítások,[ Settings ],General ledger category code supplier:
Rendszám:,[ License plate: ],E. group name
Visszáru darab (gy?jt?),[ Return\n],Date navigation updates suppliers?
Számla kelte,Creation date,Should the orders appear in a table?
Fizetési határid?,Day of payment,Primary location
Termény vásárlás prioritás: ,[ Crop purchase priority: ],Transfer without inventory movement
Termény vásárlás ár típusa: ,[ Crop purchase price type: ],Delivery date for cross-docking forwarding company
Generált cím: ,[ Generated address: ],Gross value
 Igazolt szállítólevél átadás?,[ Certified delivery note transfer ],Pallet measurement
Érv. vége,[ Argument end ],For a designated tribe - in storage areas
Készletszint név: ,[ Public area name: ],(*)Unique code of the site within the company
(*)[Melyik telepítésen található a telephely.]->Az ország egyedi neve,[ (*) [In which settlement is the site located ],Priority treatment?
Éjfél utáni átrak száma,[Number of hours after midnight ],Installation:
Árukísér? adattartalom: ,[ Accompanying data content: ],Pallet aggregate? print - selected
Adó Árfolyam típus kód,[ Tax rate\n],Setting up the printing of the commission list
Termény vásárlás pénznem: ,[Crop purchase currency: ],Total weight (kg):
Beszerzés Árfolyam típus kód,[ Purchase rate\n],Return reason code
Készlet sorrend,[Inventory order ],Other data:
Vágóhíd?,[ Slaughterhouse? ],F. Your deadline?:
Munkalap f?könyvi napló: ,[Worksheet ledger: ],Can it be changed before printing?:
Lépcs?ház: ,[ Staircase: ],"""0001I, Sales abroad with pick-up"""
ENAR azonosító,[ ENAR ID ],Freight discount to be calculated?:
Rövid név,[ Short name ],Tax Value
Ir. szám: ,[ Registration number: ],Basic unit price:
F?könyvi bizonylat határnap: ,[ General ledger deadline: ],Month
Érték,[ Value ],Installation:
Adó Árfolyam típus:,[ Tax rate type: ],Settings
Offline tikett típusa,[ Offline ticket type ],License plate number:
Számla jogcím név,[ Account title name ],Return item (collect?)
Ár típus név,[ Price type ],Invoice date
Partner típus,[Partner Type ],Payment deadline?
Paritás: ,[ Parity: ],Product purchase priority:
Bolti terhelés jogcím:,[ Store Debit Item: ],Product purchase price type:
Árfolyam típus kód,[ Exchange Rate Type Code ],Generated address:
Ajtó: ,[ Door: ],Delivery of a certified delivery note?
Határnapok,[ Deadlines ],Argument. it's over
Tételképzési mód(termelési): ,[ Item Formation (Production): ],Stock Level Name:
Készlet feladás f?könyvi napló: ,[ Stock Posting General Ledger: ],(*)[On which installation the site is located.]->Unique name of the country
Érvényesség vége,[ Validity\n],Number of trips after midnight
Adó kulcs,[Tax rate ],Accompanying goods? data content:
 Csak szállítólevél kezelés?,[ Delivery note handling only ],Tax Rate type code
Árfolyam típus id?szak,[ Exchange rate type period ],Product purchase currency:
Árfolyamok,[ Exchange rates ],Purchase Exchange rate type code
Költséghely: ,[ Cost center: ],Inventory order
Pénztár f?könyvi napló: ,[ Cash register ledger: ],Slaughterhouse?
Bank f?könyvi napló:,[ Bank ledger: ],Worksheet ledger journal:
Székhely cím,[ Registered office address ],Staircase:
Fordított ÁFA szabály,[ Reverse VAT rule ],ENAR identifier
Partner típus név,[ Partner type name [ ],Short name
Csoport azonosító szám: ,[Group identification number: ],Registration number:
Épület: ,[ Building: ],Ledger receipt deadline:
Tételképzési mód(szállítói): ,[ Item creation method (suppliers): ],Value
Tárgyi eszköz f?könyvi napló:,[ Tangible asset general ledger journal: ],Tax Rate type:
Pénzmozgás Árfolyam típus:,[ Cash flow exchange rate type: ],Offline ticket type
Induló forduló: ,[ Starting round: ],Account title name
Árfolyam típus név,[ Exchange rate type name ],Price type name
Üzem: ,[ Plant: ],Partner type
Érvényesség kezdete,[ Validity\n],Parity:
Mennyiségi egység kód: ,[Quantity unit: ],Store debit title:
Árukísér? kiszolgálás?,[ Accompanying service? ],Exchange rate type code
Szállításszervezés átadás?,[ Delivery organization transfer? ],Door:
Kompenzáció f?könyvi napló: ,[ Compensation ledger log: ],Deadlines
Egyszerre mozgatható maximális mennyiség: ,[ Maximum quantity that can be moved at one time: ],Lot formation method (production):
Értékesítés árfolyam típusa név,[ Sales rate\n],Inventory posting ledger journal:
Telepítés: ,[Town: ],Expiration date
Min. rendelési érték: ,[ Min. ],Tax key
Késedelmi kamat típusa:,[Type of interest for late payment: ],Only waybill handling?
Adószám: ,[ Tax number: ],Exchange rate type period
Közigazgatási adószám: ,[ Community tax number: ],Exchange rates
Számláz?,[ Invoice?\n],Cost location:
Szállítói megrendelés határnap: ,[Supplier Order Deadline: ],Cash register journal:
Adóhatósági ellen?rzési adatszolgáltatás,[ Tax Authority Audit Reporting ],Bank ledger journal:
Pénzmozgás árfolyam típusa név,[ Cash Flow Rate\n],Headquarters address
Székhely cím: ,[Headquarters Address: ],Reverse VAT rule
Felvásárlás fizetési határnapok: ,[ Acquisition payment six. ],Partner type name
M?ködés,[Operation ],Group identification number:
Zárul forduló: ,[ Closing round: ],Building:
Felvásárlás fizetési mód:,[ Purchase payment method: ],Lot formation method (suppliers):
Beszerzés árfolyam típusa:,[ Purchase exchange rate type: ],Tangible asset ledger journal:
FELIR azonosító: ,[ FELIR identifier: ],Money movement Exchange rate type:
F?könyv,[ General ledger ],Starting round:
Készlet jelleg: ,[ Public area type: ],Exchange rate type name
Érv.kezdete,[ Argument start ],Plant:
Értékesítés árfolyam típusa:,[ Sales exchange rate type: ],Start of validity
Értékesítés árfolyam típusa kód,[ Sales exchange rate\n],Quantity unit code:
Alapértelmezett leltár mennyiség jelleg: ,[Default Inventory Quantity Type: ],Accompanying goods? service?
Számla befogadás határnap: ,[ Invoice Receipt Deadline: ],Transport organization transfer?
Vállalat,[ Company ],Compensation ledger journal:
Beszerzés árfolyam típusa név,[ Purchase Rate\n],Maximum quantity that can be moved at one time:
Ország kód,[Country code ],Sales rate type name
Adó árfolyam típusa név,[ Tax rate\n],Installation:
Fizetési mód: ,[Payment method: ],Min. order value:
Vev?i megrendelés határnap: ,[ Sales order deadline: ],Type of late interest:
Számlakibocsátás határnap: ,[ Invoice delivery deadline: ],Tax number:
Készletforgalom határnap: ,[ Inventory turnover deadline: ],Administrative tax number:
Vállalat árfolyam,[ Company exchange rate ],Are you billing?
Irányítószám,[ Registration number ],Supplier order deadline:
Beérkez? számla feladás f?könyvi napló:,[ Incoming invoice sending principal. ],Tax authority control data provision
Pénzmozgás árfolyam típusa kód,[Cash flow exchange rate\n],Currency exchange rate type name
M?ködési/engedélyszám: ,[Operating / Excise License Number: ],Headquarters address:
Raktári kiszolgálás?,[ Warehouse Service? ],Purchase payment deadlines:
Hatáskör,[ Scope ],Operation
Számla feladás f?könyvi napló:,[ Invoice Posting General Ledger: ],Final Round:
Házszám: ,[ House Number: ],Purchase payment method:
Gyártás típusa: ,[ Production Type:],Purchase rate type:
(*)A vállalat egyedi kódja,[(*) Unique company code],FELIR identifier:
Társra zsilip kitöltési mód,[Tour lock filling method ],General book
Cím név,[ Address name ],Stock nature:
Cím,[ Address ],Beginning of argument
Ártípus kód,[ Price type code ],Sales rate type:
Betárolási javaslat?,[ Storage suggestion? ],Sales rate type code
Terméktanács azonosító,[ Product board ID ],Default inventory quantity nature:
Szállítólevél raktáronként?,[ Delivery note per warehouse? ],Invoice acceptance deadline:
Cím kód,[Address code ],Company
Számla jogcím,[ Account title ],Purchase rate type name
Partner kód,[ Partner code ],Country code
Sarzs kód szegmens,[ Batch code segment ],Tax rate type name
KTJ (Környezetvédelmi Területi Jel),[ KTJ (Environmental Territorial Sign) ],Payment:
Keres? név,[ Search name ],Customer order deadline:
Partner név,[ Partner name ],Deadline for invoice issuance:
Saját bolt munkaszám,[ Own shop number ],Stock turnover deadline:
Raktári m?szak követés?,[ Warehouse shift tracking? ],Company rate
Saját bolt munkaszám név,[ Own shop job number name ],Postal code
Társra indítás mód,[ ],Will you arrive? invoice posting ledger journal:
(*)[Vállalat]->A vállalat egyedi kódja,[(*) [Company] -\u003e Unique company code],Currency exchange rate type code
Vev??,[Customer ],Operation/license number:
[Saját bolt munkaszám]->Sarzs kód szegmens,[ [Own store work number] -\u003e Batch code segment ],Warehouse service?
[Saját bolt munkaszám]->Elnevezés,[ [Own store work number] -\u003e Name],Scope
Automatikus feltölt?  ,[Auto upload?],Invoice posting ledger journal:
Értékcsökkenés kezdete,[Start of depreciation ],House number:
Generálás,[ Generation ],Production type:
ÁFA kulcs név,[ ECS key name ],(*)Unique code of the company
Tervezet generálás,[ Draft generation ],Companion sluice filling method
Évek száma,[ Number of years ],Address name
Gyáriszám,[ Serial number ],Title
Értékcsökkenés kulcs,[ Depreciation key ],Price type code
Eszközszám,[ Device number ],Storage proposal?
Értékcsökkenés tervezet,[ Depreciation draft ],Product council identifier
ÁFA kulcs kód,[ ECS key code ],Delivery note per warehouse?
ÁFA érték,[ ECS value ],Address code
Státusz,[ Status ],Account title
Értékcsökkenés tervezet tétel,[ Depreciation draft item [ ],Partner code
Fejlesztési tartalék,[Development reserve ],Batch code segment
Értékelés név,[ E. ],KTJ (Environmental Protection Territorial Sign)
Alszám,[Subheading ],Look for? name
ÁFA számítási módszer,[ ECS calculation method ],Partner name
Újra generálás,[ Regeneration ],Own shop work number
Maradvány érték,[ Residual value ],Warehouse cycle tracking?
Értékelés kód,[ E. ],Own shop work number name
Üzem:,[ Plant: ],Co-launch mode
Lefordítandó szöveg,[Text to translate ],(*)[Company]->Unique code of the company
Lefordított szöveg,[ Translated text ],Buyer??
Show Putty Registry,[ Show Putty Registry ],[My shop job number]->Batch code segment
Log: ,[ Log: ],[My shop job number]->Name
Login Putty,[Login Putty ],Automatic upload?
Próbaszöveg,[ Sample text ],Start of depreciation
vrtSplita,[ vrtSplita ],Generation
downloadFile,[ downloadFile ],VAT key name
Levonható adó érték,[Deductible tax value],Draft generation
Termék,[Product],Number of years
Fizetési mód,[Payment method],Serial Number
Készletfajta,[Inventory type ],Depreciation key
Adó árfolyam,[Tax rate],Device number
A megengedett értékek listája,[List of allowed values],Depreciation plan
Nyomtatás,[Print],VAT key code
Munkaszám kód,[Job number code],VAT value
Érvényesít,[ Validate ],Status
Összesített értékek pénznemenként,[ ],Depreciation draft item
Összes adó érték,[Total tax value],Development Reserve
NAV státusz,[NAV status],Rating name
Csekk példányszám,[Check number of copies],Subnumber
ÁFA zárás dátum,[VAT closing date],VAT calculation method
SWIFT kód,[SWIFT code],Regeneration
Összes nettó érték,[Total Net Value],Residual value
Közvetített biz. szám,[Intermediate biz. ],Evaluation code
Számla fajta,[Account type],Plant:
Kamat típus,[Interest type],Text to be translated
Megrendelés,[Order],Translated text
Folyamatos szolgáltatás?,[Continuous service?],Show Putty Registry
Teljesítés kezdete,[Start of execution],Log:
Üzemanyag kártya szám,[Fuel card number],Login Putty
Számlaszám,[Invoice number],Test text
Válassza ki a tételt!,Select the item!,vrtSplita
Mentés,[ Save ],downloadFile
Fordítás,[ Translate ],Deductible tax value
Betöltés,[ Loading],Product
Connected (vc2-0),[Connected (vc2-0)],Payment
Tételképzés mód név,[Batch mode name ],Stock type
Munkahely,[ Workplace ],Tax rate
Gyártás nap eltérés,[ Date of manufacture deviation ],List of allowed values
Cikk:,[ Article: ],Printing
Cikk név:,[ Article name: ],Work number code
Tétel:,[ Item: ],It validates
Lejárati dátum:,[ Expiry date: ],Aggregate values ​​by currency
(*)Az üzem egyedi kódja,[ (*) Unique code of the plant ],Total tax value
Cikk kód:,[ Article code: ],NAV status
Etk:,[Etk: ],Check copy number
Tételképzés mód kód,[ Batch mode code],VAT closing date
(*)A munkahely neve,[(*) Name of workplace ],Swift code
(*)A munkahely üzemen belüli egyedi kódja,[ (*) Unique code of the workplace on the holding ],Total net worth
A munkahelyen aktuálisan feldolgozás alatt álló tétel kódja,[ Code of the batch currently being processed at the workplace],Indirect biz. song
fut: select * from uzem,[run: select * from uzem ],Account type
Select Ok: select * from uzem,[ Select Ok: select * from uzem],Interest type
Banki nap?,[Bank day? ],Order
Naptári napok,[ Calendar days ],Continuous service?
 Dátumtól: ,[ From: ],Start of performance
Paraméterek,[ Parameters ],Fuel card number
 Dátumig: ,[ To: ],Account number
(*)A dátum,[ (*) The date ],Select the item!
Érvénytelenít,[ Cancel ],Rescue
fut: select * from vagasi_igeny limit 100,[run: select * from vagasi_igeny limit 100 ],Translation
Select Hiba: select * from vagasi_igeny limit 100,[ Select Error: select * from vagasi_igeny limit 100],Loading
"Select Ok: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021","[Select Ok: select * from ebsz_qml_vagasi_igeny_tabla ('2021-02-22', '2021 ]",Connected (vc2-0)
"fut: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021-06-21',95224637,'H')","[ run: select * from ebsz_qml_vagasi_igeny_tabla (' 2021-02-22 ',' 2021-06-21 ', 95224637,' H ')]",Lot formation mode name
Üres mérlegre vár...,Waiting for empty scales...,Workplace
Cikktáblázat,[Article table ],Production date difference
Mérés,[ Measurement ],Article:
Egalizált,[ Equalized ],Article Name:
Korábbiak,[ Previous ],Item:
Munkaszám,[ Number of jobs ],Leave date:
Irány,[ Direction],(*)Unique code of the plant
Nincs a munkahelyhez beállított tétel!,[There is no item set for the job!],Article code:
Adja meg a,[ Enter ],Etc:
darab számot,[ number of pieces ],Batch formation mode code
raklap,[ pallet ],(*)The name of the workplace
Adja meg a Raklap súlyát/Mozgó tárhely vonalkódját!,[ Enter Pallet weight / Moving storage barcode ],(*)Unique code of the workplace within the company
Göngyöleg választás,[ Package selection],The code of the item currently being processed at the workplace
Mérés kész,[ Measurement complete ],run: select * from uzem
tárhely,[ Storage ],Select Ok: select * from uzem
Raklap/Mozgó,[ Pallet / Moving ],Bank day?
Utolsó mérés,[ Last measurement ],Calendar days
Címke rontás,[ Label deterioration ],From date:
Kijelölt tétel,[ Selected item ],Parameters
Kijelölt cikktáblázat,[ Selected item table ],Until date:
Betuméret,[Font size ],(*)The date
Cikk kép megjelenítése,[Display item image ],It invalidates
Sarzs: ,Lot:,fut: select * from vagasi_yes limit 100
Kiszállítás:,[Delivery: ],Select Error: select * from vagasi_yes limit 100
"Kiszedohöz kijelölés
idopont",[ Assign to pickup\n],"""Select Ok: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021"""
"Mennyiség
kiszedett",[Quantity\n],"""run: select * from ebsz_qml_vagasi_igeny_tabla('2021-02-22','2021-06-21',95224637,'H')"""
Mind ki,[ All out ],Waiting for an empty balance sheet...
Nyomtatás túránként - raktár bontásban?,[ Print per tour - broken down by warehouse? ],Table of articles
"Túránként
gyártási utasításonként",[ Per tour\n],Measurement
Mind kijelölés/megfordítás,[All selection / inversion ],Equalized
Hiány mennyiség,[ Shortage quantity ],They are earlier
1. vontatmány rendszám,[ 1. ],Work number
"Gyujto (darab)
kijelölt",[Collector (pieces)\n],Direction
Zárókészlet jelzés e-mail címek,[Closing stock indication e-mail addresses ],There is no item set for the workplace!
Leltár mennyiség jelleg,[ Inventory quantity type ],Enter the
Lejárat jelzés e-mail címek,[ Expiration indication e-mail addresses ],piece number
Árualap viszony,[ Commodity basis relationship ],pallet
Szervezet kód,[ Organization code ],Enter the weight of the pallet/bar code of the mobile storage area!
Készletmozgás bizonylaton megjelenítendo szöveg,[ Text to be displayed on the inventory movement document ],It's a tough choice
Zóna kód,[ Zone code ],Measurement is complete
Fokönyvi feladás?,[ General ledger posting? ],storage
Tárhelyre bevételezés mozgásnem,[ Storage entry movement type ],Pallet/Movable
Zóna név,[ Zone ],Last measurement
Beszállító kód,[Supplier Code ],Label damage
Vállalati raktárak,[ Corporate Warehouses ],Selected item
"Cikktáblázat
(kizárt cikkek)",[ Item Table\n],Featured article table
Maradék eltérés többlet mozgásnem,[Residual deviation Excess movement type ],Font size
Vezérelt leltár?,[ Controlled inventory?\n],Show article image
Tárhelyrol kiadás mozgásnem név,[Release from storage movement name ],Batch:
Leltárkör,[ Inventory circle ],Delivery:
Maradék eltérés hiány mozgásnem név,[ Residual discrepancy missing movement type ],"""Selection for extraction"
Tárhely kód,[ Storage code ],"date"""
Készletszint jelzés e-mail címek,[ Inventory level indication e-mail addresses ],"""Quantity"
"Cikktáblázat
(engedélyezett cikkek)",[ Article table\n],"taken out"""
"Cikktáblázat név
(kizárt cikkek)",[Article table name\n],All out
alma,[Apple],Printing per tour - warehouse breakdown?
körte,[pear],"""Every tour"
Nincs a munkahelyhez beállított feldolgozás alatti tétel!,[ No item set for workplace set! ],"per production instructions"""
Megrendelés száma,Invoice No.,All select/invert
Cikk kód megjelenítése,[Display article code ],Lack of quantity
Cikk infó megjelenítése,[ Display article info ],1. towing vehicle registration number
Útvonal betuméret,[ Route font size ],"""Light (piece)"
Cikk betuméret,[ Article font size ],"assigned"""
Mérleg cimkék rövidítése,[ Abbreviation of balance labels ],Closing set signal e-mail addresses
Választó gombok szélessége,[ Width of selection buttons ],Inventory quantity nature
Cikk név megjelenítése,[ Display article name ],Expiration notice e-mail addresses
ETK megjelenítése,[ Display ETK],Commodity base relationship
Napi generálás,[Daily generation ],Organization code
Nap feloldása,[ Day unlock ],Text to be displayed on the stock movement receipt
Nap zárolása,[ Day lock ],Zone code
Adat generálás,[ Data generation],Submitting a textbook?
Connected (vc5-0),[Connected (vc5-0) ],Entry to storage does not move
Connected (vc4-0),[ Connected (vc4-0)],Zone name
Select Ok: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DA,[Select Cause: select rjo_get_system_parameter ('EBSZ_HSZ_GJU_KETRECBEN_DA ],Supplier code
"fut: select rjo_get_rendszer_parameter('EBSZ_HSZ_GJU_KETRECBEN_DARAB_LISTA','10-12')","[ running: select rjo_get_system_parameter (' EBSZ_HSZ_GJU_KETRECBEN_PUT_LIST ',' 10-12 ') ]",Corporate warehouses
Rendszer paraméter,[ System parameter],"""Article table"
